Gene name (primary),Gene names (all)
RBM6,DEF3/RBM6
DPF2,BAF45D/DPF2/REQ/UBID4
ZC3H14,FLJ11806/hCG_21080/ZC3H14
ZCCHC7,HSPC086/ZCCHC7
UTP23,C8orf53/hCG_1640093/UTP23
HNRNPUL2,HNRNPUL2/HNRPUL2
RCC2,KIAA1470/RCC2/TD60
CTCF,CTCF
RECQL,RECQ1/RECQL/RECQL1
PPP1CA,PPP1A/PPP1CA
SNRNP70,RNPU1Z/RPU1/SNRNP70/SNRP70/U1AP1
FBL,FBL/FIB1/FLRN
PPP1CB,PPP1CB
ZNF384,CAGH1/CIZ/NMP4/TNRC1/ZNF384
KIF20A,KIF20A/MKLP2/RAB6KIFL
RBM3,hCG_19813/RBM3/RNPL
KLF16,BTEB4/KLF16/NSLP2
HNRNPR,hCG_38907/HNRNPR/HNRPR
HIST1H2BK,H2BFT/HIRIP1/HIST1H2BK
HIST1H2BD,H2BFB/HIRIP2/HIST1H2BD
HIST1H3A,/H3FA/H3FB/H3FC/H3FD/H3FF/H3FH/H3FI/H3FJ/H3FK/H3FL/HIST1H3A/HIST1H3B/HIST1H3C/HIST1H3D/HIST1H3E/HIST1H3F/HIST1H3G/HIST1H3H/HIST1H3I/HIST1H3J
HIST1H2BM,H2BFE/HIST1H2BM
CBX5,CBX5/HP1A
PCMT1,PCMT1
RNF114,RNF114/ZNF228/ZNF313
HIST3H2BB,HIST3H2BB
NAT10,ALP/KIAA1709/NAT10
HNRNPC,HNRNPC/HNRPC
DDX21,DDX21
POLD3,KIAA0039/POLD3
FAM118B,FAM118B/FLJ21103/hCG_1811519
RPL13,BBC1/OK/SW-cl.46/RPL13
NUCKS1,JC7/NUCKS/NUCKS1
TCOF1,TCOF1
GART,GART/PGFT/PRGS
SMAP,C11orf58/SMAP
FEN1,FEN1/RAD2
HP1BP3,HP1BP3
MARF1,KIAA0430/LKAP/MARF1
SRSF10,FUSIP1/FUSIP2/SFRS13A/SRSF10/TASR
RPA1,REPA1/RPA1/RPA70
DHX15,DBP1/DDX15/DHX15
CCDC86,CCDC86/CYCLON
DNMT1,AIM/CXXC9/DNMT/DNMT1
RPL23A,hCG_1988529/RPL23A
DDX46,DDX46/hCG_16595/KIAA0801
NOP56,NOL5A/NOP56
SENP3,SENP3/SSP3/SUSP3
ACTB,ACTB/hCG_15971
PDS5B,APRIN/AS3/KIAA0979/PDS5B
WBP11,NPWBP/SIPP1/SNP70/WBP11
REXO4,PMC2/REXO4/XPMC2H
RPL32,PP9932/RPL32
H2AFZ,H2AFZ/H2AZ
HSPD1,HSP60/HSPD1
NOP58,HSPC120/NOL5/NOP5/NOP58
GPATCH11,CCDC75/CENP-Y/GPATCH11
LLPH,C12orf31/cPERP-G/LLPH
CHD3,CHD3
DVL2,DVL2
BZW1,BZAP45/BZW1/KIAA0005
JRK,JH8/JRK
POLA1,POLA/POLA1
LCOR,C10orf12/KIAA1795/LCOR/MLR2
RBM39,HCC1/hCG_38221/RBM39/RNPC2
DCLRE1A,DCLRE1A/KIAA0086/SNM1/SNM1A
